id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
01001001001	01001001	Hapo					y
01001001002	01001001	mwanzo					y
01001001003	01001001	Mungu					y
01001001004	01001001	aliumba					y
01001001005	01001001	mbingu					y
01001001006	01001001	na					y
01001001007	01001001	dunia	y				y
01001001008	01001001	.		y			n
01001002001	01001002	Wakati					y
01001002002	01001002	huu					y
01001002003	01001002	dunia					y
01001002004	01001002	ilikuwa					y
01001002005	01001002	haina					y
01001002006	01001002	umbo	y				y
01001002007	01001002	,		y			n
01001002008	01001002	tena					y
01001002009	01001002	ilikuwa					y
01001002010	01001002	tupu	y				y
01001002011	01001002	.		y			n
01001002012	01001002	Giza					y
01001002013	01001002	lilikuwa					y
01001002014	01001002	juu					y
01001002015	01001002	ya					y
01001002016	01001002	uso					y
01001002017	01001002	wa					y
01001002018	01001002	vilindi					y
01001002019	01001002	vya					y
01001002020	01001002	maji	y				y
01001002021	01001002	,		y			n
01001002022	01001002	naye					y
01001002023	01001002	Roho					y
01001002024	01001002	wa					y
01001002025	01001002	Mungu					y
01001002026	01001002	alikuwa					y
01001002027	01001002	ametulia					y
01001002028	01001002	juu					y
01001002029	01001002	ya					y
01001002030	01001002	maji	y				y
01001002031	01001002	.		y			n
01001003001	01001003	Mungu					y
01001003002	01001003	akasema	y				y
01001003003	01001003	,		y			n
01001003004	01001003	“	y	y			n
01001003005	01001003	Iwepo					y
01001003006	01001003	nuru	y				y
01001003007	01001003	,	y	y			n
01001003008	01001003	”		y			n
01001003009	01001003	nayo					y
01001003010	01001003	nuru					y
01001003011	01001003	ikawepo	y				y
01001003012	01001003	.		y			n
01001004001	01001004	Mungu					y
01001004002	01001004	akaona					y
01001004003	01001004	ya					y
01001004004	01001004	kuwa					y
01001004005	01001004	nuru					y
01001004006	01001004	ni					y
01001004007	01001004	njema	y				y
01001004008	01001004	,		y			n
01001004009	01001004	ndipo					y
01001004010	01001004	Mungu					y
01001004011	01001004	akatenganisha					y
01001004012	01001004	nuru					y
01001004013	01001004	na					y
01001004014	01001004	giza	y				y
01001004015	01001004	.		y			n
01001005001	01001005	Mungu					y
01001005002	01001005	akaiita					y
01001005003	01001005	nuru					y
01001005004	01001005	“	y	y			n
01001005005	01001005	mchana	y				y
01001005006	01001005	,	y	y			n
01001005007	01001005	”		y			n
01001005008	01001005	na					y
01001005009	01001005	giza					y
01001005010	01001005	akaliita					y
01001005011	01001005	“	y	y			n
01001005012	01001005	usiku	y				y
01001005013	01001005	.	y	y			n
01001005014	01001005	”		y			n
01001005015	01001005	Ikawa					y
01001005016	01001005	jioni	y				y
01001005017	01001005	,		y			n
01001005018	01001005	ikawa					y
01001005019	01001005	asubuhi	y				y
01001005020	01001005	,		y			n
01001005021	01001005	siku					y
01001005022	01001005	ya					y
01001005023	01001005	kwanza	y				y
01001005024	01001005	.		y			n
01001006001	01001006	Mungu					y
01001006002	01001006	akasema	y				y
01001006003	01001006	,		y			n
01001006004	01001006	“	y	y			n
01001006005	01001006	Iwepo					y
01001006006	01001006	nafasi					y
01001006007	01001006	kati					y
01001006008	01001006	ya					y
01001006009	01001006	maji					y
01001006010	01001006	igawe					y
01001006011	01001006	maji					y
01001006012	01001006	na					y
01001006013	01001006	maji	y				y
01001006014	01001006	.	y	y			n
01001006015	01001006	”		y			n
01001007001	01001007	Kwa					y
01001007002	01001007	hiyo					y
01001007003	01001007	Mungu					y
01001007004	01001007	akafanya					y
01001007005	01001007	nafasi	y				y
01001007006	01001007	,		y			n
01001007007	01001007	akatenganisha					y
01001007008	01001007	maji					y
01001007009	01001007	yaliyo					y
01001007010	01001007	chini					y
01001007011	01001007	ya					y
01001007012	01001007	hiyo					y
01001007013	01001007	nafasi					y
01001007014	01001007	na					y
01001007015	01001007	maji					y
01001007016	01001007	yaliyo					y
01001007017	01001007	juu					y
01001007018	01001007	yake	y				y
01001007019	01001007	.		y			n
01001007020	01001007	Ikawa					y
01001007021	01001007	hivyo	y				y
01001007022	01001007	.		y			n
01001008001	01001008	Mungu					y
01001008002	01001008	akaiita					y
01001008003	01001008	hiyo					y
01001008004	01001008	nafasi					y
01001008005	01001008	“	y	y			n
01001008006	01001008	anga	y				y
01001008007	01001008	.	y	y			n
01001008008	01001008	”		y			n
01001008009	01001008	Ikawa					y
01001008010	01001008	jioni	y				y
01001008011	01001008	,		y			n
01001008012	01001008	ikawa					y
01001008013	01001008	asubuhi	y				y
01001008014	01001008	,		y			n
01001008015	01001008	siku					y
01001008016	01001008	ya					y
01001008017	01001008	pili	y				y
01001008018	01001008	.		y			n
01001009001	01001009	Mungu					y
01001009002	01001009	akasema	y				y
01001009003	01001009	,		y			n
01001009004	01001009	“	y	y			n
01001009005	01001009	Maji					y
01001009006	01001009	yaliyopo					y
01001009007	01001009	chini					y
01001009008	01001009	ya					y
01001009009	01001009	anga					y
01001009010	01001009	na					y
01001009011	01001009	yakusanyike					y
01001009012	01001009	mahali					y
01001009013	01001009	pamoja	y				y
01001009014	01001009	,		y			n
01001009015	01001009	pawepo					y
01001009016	01001009	na					y
01001009017	01001009	nchi					y
01001009018	01001009	kavu	y				y
01001009019	01001009	.	y	y			n
01001009020	01001009	”		y			n
01001009021	01001009	Ikawa					y
01001009022	01001009	hivyo	y				y
01001009023	01001009	.		y			n
01001010001	01001010	Mungu					y
01001010002	01001010	akaiita					y
01001010003	01001010	nchi					y
01001010004	01001010	kavu					y
01001010005	01001010	“	y	y			n
01001010006	01001010	ardhi	y				y
01001010007	01001010	,	y	y			n
01001010008	01001010	”		y			n
01001010009	01001010	nalo					y
01001010010	01001010	lile					y
01001010011	01001010	kusanyiko					y
01001010012	01001010	la					y
01001010013	01001010	maji					y
01001010014	01001010	akaliita					y
01001010015	01001010	“	y	y			n
01001010016	01001010	bahari	y				y
01001010017	01001010	.	y	y			n
01001010018	01001010	”		y			n
01001010019	01001010	Mungu					y
01001010020	01001010	akaona					y
01001010021	01001010	kuwa					y
01001010022	01001010	ni					y
01001010023	01001010	vyema	y				y
01001010024	01001010	.		y			n
01001011001	01001011	Kisha					y
01001011002	01001011	Mungu					y
01001011003	01001011	akasema	y				y
01001011004	01001011	,		y			n
01001011005	01001011	“	y	y			n
01001011006	01001011	Ardhi					y
01001011007	01001011	na					y
01001011008	01001011	itoe					y
01001011009	01001011	mimea	y				y
01001011010	01001011	:		y			n
01001011011	01001011	miche					y
01001011012	01001011	itoayo					y
01001011013	01001011	mbegu	y				y
01001011014	01001011	,		y			n
01001011015	01001011	miti					y
01001011016	01001011	juu					y
01001011017	01001011	ya					y
01001011018	01001011	nchi					y
01001011019	01001011	itoayo					y
01001011020	01001011	matunda					y
01001011021	01001011	yenye					y
01001011022	01001011	mbegu					y
01001011023	01001011	ndani					y
01001011024	01001011	yake	y				y
01001011025	01001011	,		y			n
01001011026	01001011	kila					y
01001011027	01001011	mmea					y
01001011028	01001011	kulingana					y
01001011029	01001011	na					y
01001011030	01001011	aina					y
01001011031	01001011	zake					y
01001011032	01001011	mbalimbali	y				y
01001011033	01001011	.	y	y			n
01001011034	01001011	”		y			n
01001011035	01001011	Ikawa					y
01001011036	01001011	hivyo	y				y
01001011037	01001011	.		y			n
01001012001	01001012	Ardhi					y
01001012002	01001012	ikachipua					y
01001012003	01001012	mimea	y				y
01001012004	01001012	:		y			n
01001012005	01001012	Mimea					y
01001012006	01001012	itoayo					y
01001012007	01001012	mbegu					y
01001012008	01001012	kulingana					y
01001012009	01001012	na					y
01001012010	01001012	aina					y
01001012011	01001012	zake	y				y
01001012012	01001012	,		y			n
01001012013	01001012	na					y
01001012014	01001012	miti					y
01001012015	01001012	itoayo					y
01001012016	01001012	matunda					y
01001012017	01001012	yenye					y
01001012018	01001012	mbegu					y
01001012019	01001012	kulingana					y
01001012020	01001012	na					y
01001012021	01001012	aina					y
01001012022	01001012	zake	y				y
01001012023	01001012	.		y			n
01001012024	01001012	Mungu					y
01001012025	01001012	akaona					y
01001012026	01001012	ya					y
01001012027	01001012	kuwa					y
01001012028	01001012	hili					y
01001012029	01001012	ni					y
01001012030	01001012	jema	y				y
01001012031	01001012	.		y			n
01001013001	01001013	Ikawa					y
01001013002	01001013	jioni	y				y
01001013003	01001013	,		y			n
01001013004	01001013	ikawa					y
01001013005	01001013	asubuhi	y				y
01001013006	01001013	,		y			n
01001013007	01001013	siku					y
01001013008	01001013	ya					y
01001013009	01001013	tatu	y				y
01001013010	01001013	.		y			n
01001014001	01001014	Mungu					y
01001014002	01001014	akasema	y				y
01001014003	01001014	,		y			n
01001014004	01001014	“	y	y			n
01001014005	01001014	Iwepo					y
01001014006	01001014	mianga					y
01001014007	01001014	kwenye					y
01001014008	01001014	nafasi					y
01001014009	01001014	ya					y
01001014010	01001014	anga					y
01001014011	01001014	ili					y
01001014012	01001014	itenganishe					y
01001014013	01001014	usiku					y
01001014014	01001014	na					y
01001014015	01001014	mchana	y				y
01001014016	01001014	,		y			n
01001014017	01001014	nayo					y
01001014018	01001014	iwe					y
01001014019	01001014	alama					y
01001014020	01001014	ya					y
01001014021	01001014	kutambulisha					y
01001014022	01001014	majira					y
01001014023	01001014	mbalimbali	y				y
01001014024	01001014	,		y			n
01001014025	01001014	siku					y
01001014026	01001014	na					y
01001014027	01001014	miaka	y				y
01001014028	01001014	,		y			n
01001015001	01001015	nayo					y
01001015002	01001015	iwe					y
01001015003	01001015	mianga					y
01001015004	01001015	kwenye					y
01001015005	01001015	nafasi					y
01001015006	01001015	ya					y
01001015007	01001015	anga					y
